Milliseconds,PackVoltx100,Ampsx100,RPM
49100,1240,158,3793
49200,1240,148,3810
49300,1240,167,3796
49400,1240,167,3810
49500,1240,158,3816
49600,1240,158,3825
49700,1240,148,3819
49800,1240,167,3831
49900,1240,158,3813
50000,1240,148,3822
50100,1240,158,3840
50200,1240,158,3810
50300,1240,158,3799
50400,1240,158,3846
50500,1240,167,3840
50600,1240,139,3813
50700,1240,158,3813
50800,1240,148,3793
50900,1240,167,3816
51000,1237,148,3831
51100,1240,148,3816
51200,1240,148,3903
51300,1240,158,3937
51400,1240,158,3810
51500,1240,158,3819
51600,1240,167,3968
51700,1240,158,3837
51800,1240,158,3819
51900,1240,158,3813
52000,1240,148,3819
52100,1240,158,3825
52200,1240,158,3816
52300,1240,158,3816
52400,1240,158,3819
52500,1240,158,3816
52600,1240,148,3808
52700,1240,148,3855
52800,1240,158,3813
52900,1240,148,3813
53000,1240,167,3816
53100,1240,158,3819
53200,1240,158,3918
53300,1240,167,3980
53400,1240,167,3819
53500,1240,167,3825
53600,1240,167,3952
53700,1240,176,3846
53800,1240,176,4009
53900,1237,176,3990
54000,1237,186,4074
54100,1237,223,4187
54200,1237,232,4255
54300,1237,223,4355
54400,1237,232,4436
54500,1237,232,4476
54600,1237,232,4484
54700,1237,232,4472
54800,1237,232,4460
54900,1237,232,4484
55000,1237,223,4480
55100,1235,232,4484
55200,1237,232,4672
55300,1237,232,4464
55400,1237,232,4672
55500,1237,223,4472
55600,1237,232,4496
55700,1237,232,4460
55800,1237,232,4476
55900,1237,232,4464
56000,1237,232,4488
56100,1237,241,4468
56200,1237,232,4468
56300,1237,223,4464
56400,1237,232,4480
56500,1237,241,4504
56600,1237,232,4468
56700,1237,232,4587
56800,1237,232,4492
56900,1237,232,4460
57000,1237,241,4468
57100,1237,232,4516
57200,1237,241,4659
57300,1237,232,4659
57400,1235,232,4464
57500,1237,232,4681
57600,1237,241,4468
57700,1235,232,4460
57800,1235,232,4468
57900,1237,232,4464
58000,1237,232,4464
58100,1237,232,4591
58200,1237,232,4570
58300,1237,232,4480
58400,1237,232,4468
58500,1235,232,4480
58600,1237,232,4642
58700,1237,232,4480
58800,1235,232,4480
58900,1237,232,4460
59000,1235,232,4638
59100,1237,241,4476
59200,1235,232,4686
59300,1235,223,4484
59400,1235,232,4464
59500,1237,232,4472
59600,1235,232,4448
59700,1235,232,4464
59800,1235,232,4464
59900,1235,232,4456
60000,1237,232,4476
60100,1235,241,4582
60200,1235,232,4468
60300,1235,232,4646
60400,1237,232,4456
60500,1237,232,4460
60600,1235,232,4484
60700,1235,223,4464
60800,1235,241,4578
60900,1235,232,4625
61000,1235,241,4456
61100,1235,232,4468
61200,1235,241,4504
61300,1235,223,4476
61400,1235,232,4468
61500,1235,223,4504
61600,1235,241,4549
61700,1235,223,4456
61800,1235,232,4472
61900,1235,232,4460
62000,1235,232,4452
62100,1235,232,4460
62200,1237,232,4587
62300,1237,241,4480
62400,1235,232,4533
62500,1235,223,4440
62600,1235,232,4633
62700,1235,232,4464
62800,1235,232,4460
62900,1235,241,4456
63000,1235,241,4604
63100,1235,232,4621
63200,1235,232,4452
63300,1235,232,4464
63400,1235,232,4633
63500,1237,241,4638
63600,1235,232,4456
63700,1235,223,4456
63800,1235,241,4452
63900,1235,241,4541
64000,1235,241,4496
64100,1235,232,4472
64200,1235,223,4512
64300,1235,241,4468
64400,1235,232,4464
64500,1235,232,4541
64600,1235,232,4664
64700,1235,232,4436
64800,1235,232,4484
64900,1235,232,4460
65000,1235,241,4456
65100,1235,232,4655
65200,1235,232,4528
65300,1235,241,4468
65400,1235,232,4574
65500,1235,232,4464
65600,1235,232,4452
65700,1235,232,4460
65800,1235,241,4484
65900,1235,223,4456
66000,1235,232,4533
66100,1235,232,4492
66200,1235,232,4659
66300,1235,232,4578
66400,1235,232,4508
66500,1235,232,4472
66600,1235,232,4472
66700,1235,232,4604
66800,1235,232,4488
66900,1235,232,4504
67000,1235,232,4480
67100,1235,232,4472
67200,1235,223,4651
67300,1235,241,4651
67400,1235,232,4672
67500,1235,232,4638
67600,1235,232,4472
67700,1235,232,4464
67800,1235,241,4520
67900,1235,241,4472
68000,1235,232,4468
68100,1235,232,4659
68200,1235,232,4633
68300,1235,241,4659
68400,1235,232,4460
68500,1235,241,4638
68600,1235,232,4476
68700,1235,232,4599
68800,1235,232,4460
68900,1235,232,4464
69000,1235,241,4484
69100,1235,232,4468
69200,1235,241,4484
69300,1235,232,4484
69400,1235,232,4452
69500,1235,232,4472
69600,1235,232,4472
69700,1235,223,4472
69800,1235,223,4625
69900,1235,232,4468
70000,1235,232,4476
70100,1235,232,4496
70200,1235,223,4492
70300,1235,223,4424
70400,1235,232,4472
70500,1235,232,4686
70600,1235,223,4468
70700,1235,232,4520
70800,1235,232,4549
70900,1235,232,4484
71000,1235,232,4464
71100,1235,232,4448
71200,1235,232,4488
71300,1235,232,4655
71400,1235,232,4541
71500,1235,232,4664
71600,1235,232,4472
71700,1235,223,4464
71800,1235,232,4612
71900,1235,223,4456
72000,1235,232,4472
72100,1235,232,4464
72200,1235,232,4566
72300,1235,251,4633
72400,1235,251,4591
72500,1235,260,4625
72600,1235,269,4708
72700,1233,279,4897
72800,1231,334,4995
72900,1231,334,5020
73000,1231,325,5045
73100,1231,325,5086
73200,1231,325,5081
73300,1231,334,5279
73400,1231,325,5170
73500,1231,325,5330
73600,1231,334,5307
73700,1231,325,5076
73800,1231,325,5235
73900,1231,325,5302
74000,1229,325,5045
74100,1231,334,5224
74200,1231,325,5081
74300,1231,325,5252
74400,1229,325,5181
74500,1229,325,5081
74600,1229,325,5319
74700,1231,334,5065
74800,1231,325,5268
74900,1231,316,5107
75000,1231,334,5055
75100,1231,334,5192
75200,1231,334,5302
75300,1231,325,5224
75400,1229,325,5291
75500,1231,325,5040
75600,1231,325,5096
75700,1231,325,5296
75800,1229,325,5274
75900,1229,334,5307
76000,1229,334,5263
76100,1229,325,5070
76200,1229,325,5224
76300,1229,325,5076
76400,1229,325,5081
76500,1229,316,5055
76600,1229,334,5263
76700,1229,334,5122
76800,1229,325,5096
76900,1229,325,5170
77000,1229,325,5274
